Year,ATS Total Power (kWh),CAV Total Power (kWh),ECAV Power (kWh),ICECAV Power (kWh),STI Power (kWh),ECAV Sensing Power (kWh),ECAV Computing Power (kWh),ECAV Communication Power (kWh),ICECAV Sensing Power (kWh),ICECAV Computing Power (kWh),ICECAV Communication Power (kWh),STI Sensing Power (kWh),STI Computing Power (kWh),STI Communication Power (kWh),Electricity Consumption (kWh),Gasoline Consumption (kWh),Clean Electricity (kWh),Fossil Electricity (kWh),ATS Emissions (kg CO2),CAV Emissions (kg CO2),ECAV Emissions (kg CO2),ICECAV Emissions (kg CO2),STI Emissions (kg CO2),ECAV Sensing Emissions (kg CO2),ECAV Computing Emissions (kg CO2),ECAV Communication Emissions (kg CO2),ICECAV Sensing Emissions (kg CO2),ICECAV Computing Emissions (kg CO2),ICECAV Communication Emissions (kg CO2),STI Sensing Emissions (kg CO2),STI Computing Emissions (kg CO2),STI Communication Emissions (kg CO2),Total Vehicles,Total EV,Total ICEV,Total CAV,Total ECAV,Total ICECAV,Total Infra,Total STI,Incremented Car Number,EV Fraction,Clean Energy Fraction,Cumulative New Cars
2034,904091402.8681164,724123613.8329438,5188981.123273139,718934632.7096707,179967789.03517258,681860.0459817963,4456341.0590379825,50780.01825336037,94471879.94549926,617427168.5319933,7035584.232178042,6846711.724101277,166350030.36084017,6771046.9502311265,185156770.15844572,718934632.7096707,64511931.89500998,120644838.26343575,1248499921.0595248,1187986905.6116629,1744761.64070629,1186242143.9709566,60513015.44786189,229271.0696563161,1498416.1154183177,17074.45563165613,155878601.91007376,1018754828.0777888,11608713.983093768,2302162.9289818336,55934131.38509174,2276721.133788314,10489318.573383458,91211.08921556629,10398107.484167883,284067.03829487,3243,280824.03829487,171000,10003.275234022907,875921.7983577568,0.011415043371183372,0.3484178938734169,8758154.312812345
2035,966714703.2088978,782042541.0509132,5913140.721030133,776129400.3298831,184672162.15798464,862772.2779097797,4986115.386677269,64253.056443083566,113243192.11512168,654452672.0418146,8433536.172946837,7530705.860133435,169693974.20687163,7447482.090979576,190585302.87901476,776129400.3298831,68727446.37646526,121857856.5025495,1343604262.1868756,1282567875.1934133,1954364.6491063272,1280613510.544307,61036386.99346239,285156.69078852294,1647971.5447038356,21236.41361396854,186851266.98995075,1079846908.868994,13915334.68536228,2488989.5252312976,56085914.407004826,2461483.0612262683,10499807.89195684,95924.95717442739,10403882.934782403,340773.1248807852,4104,336669.1248807852,171000,11002.613584592284,875957.8308935352,0.012042870756598458,0.3606125201589865,9634026.96471906
2036,1024798698.8566011,836155778.2358618,6672076.206966069,829483702.0288957,188642920.62073943,1075331.925940425,5516661.315101088,80082.96592455533,133687068.18840782,685840585.2307315,9956048.609756516,8214645.140031392,172304412.49888495,8123862.9818230895,195314996.8277055,829483702.0288957,72898189.39396425,122416807.43374126,1432043457.7463675,1370813731.10694,2165622.7592621683,1368648108.347678,61229726.639427386,349031.2790711876,1790598.1479424129,25993.332248567905,220583662.5108729,1131636965.6307068,16427480.206098251,2666309.8445938984,55926573.02674297,2636843.768090519,10510307.699848795,101183.11451235616,10409124.58533643,402634.56168373086,5116,397518.56168373086,171000,12001.87178851159,876004.8254921753,0.012705228648211372,0.373233958364551,10509910.10594435
2037,1036988398.4077471,844947442.0110059,7114643.924812768,837832798.0861932,192040956.3967413,1311025.5508805502,5705982.646781673,97635.72715054415,154388640.8462319,671946404.8104364,11497752.429524893,8898528.562906852,174342239.2009,8800188.632934438,199155600.32155406,837832798.0861932,76933240.19482894,122222360.12672514,1445843294.111426,1384689706.4793992,2265589.637180582,1382424116.8422186,61153587.63202686,417483.42342123674,1817015.0595162767,31091.154243068446,254741257.39628264,1108711567.9372199,18971291.508716073,2833650.469557088,55517602.09374244,2802335.068727323,10520818.007548643,106888.42442552136,10413929.583123112,470434.43008782173,6306,464128.43008782173,171000,13001.04838344949,886281.0471287314,0.013404016223862997,0.38629714690731026,11391006.48976065
2038,1021531415.0025043,826539544.9769007,7344090.391552283,819195454.5853485,194991870.02560365,1569548.577897324,5657653.156070688,116888.65758427164,175075059.29439133,631082067.6178987,13038327.673058415,9582355.103692366,175933056.89133683,9476458.030574461,202335960.41715595,819195454.5853485,80897467.37380421,121438493.04335174,1414818670.608715,1353964486.0449424,2291985.9791173288,1351672500.065825,60854184.56377266,489833.7496257107,1765672.944785487,36479.284706131024,288873847.8357457,1041285411.5695328,21513240.660546385,2990516.506965834,54906200.51763352,2957467.5391733097,10531338.82555619,112907.75153771571,10418431.074018465,543448.853387648,7685,535763.853387648,171000,14000.141871748092,886302.9736202378,0.014141237116175459,0.399817547049066,12266973.734167613
2039,991125873.3105073,793532161.8085473,7440968.473963838,786091193.3345834,197593711.50196013,1852862.961063173,5450117.643486368,137987.86941429783,195743237.08587158,575770411.7646672,14577544.484044705,10266123.712416468,177174917.65316847,10152670.136375198,205034679.97592396,786091193.3345834,84845639.00624293,120189040.96968104,1359690358.6570904,1299323750.0108674,2273281.0088047893,1297050469.0020626,60366608.64622302,566065.8550081082,1665058.6517119654,42156.50208471545,322976341.19168806,950021179.4117007,24052948.39867376,3136390.666233361,54128488.37443652,3101729.605553148,10541870.164381746,119258.38253390961,10422611.781847827,621678.1303594472,9275,612403.1303594472,171000,14999.150719363906,886325.3629429732,0.014919005157565111,0.4138111611957834,13137812.159707136
2040,954229417.9369451,754306394.6524372,7464122.76242735,746842271.8900099,199923023.28450784,2162659.3916139808,5140404.097683746,161059.27312962266,216390526.35731256,514336539.8639787,16115205.668718625,10949833.313452959,178144366.08445743,10828823.886597468,207387146.0469352,746842271.8900099,88822784.77305841,118564361.27387677,1294236612.7986462,1234519293.7364342,2229545.1179180634,1232289748.6185162,59717319.06221207,645989.7353998714,1535446.726279424,48108.65623876819,357044368.48956573,848655290.7755648,26590089.353385728,3270732.2994358693,53212000.167993784,3234586.594782429,10552412.034546128,125958.55733028296,10426453.477215836,705122.5857789776,11098,694024.5857789776,171000,15998.073354771015,886348.4045189321,0.01573955044123119,0.4282945518376357,14003522.263898537
2041,916306554.2434446,714266996.4116255,7459336.466153553,706807659.945472,202039557.83181915,2501332.405469546,4771722.86418924,186281.19649476625,237013159.5856766,452143469.71065754,17651030.64913791,11633482.80474322,178901156.83571413,11504918.19136179,209498894.29797268,706807659.945472,92867688.27036448,116631206.02760822,1227334272.5719438,1168408200.0061538,2175561.0961250253,1166232638.9100287,58926072.56579002,729528.8923496525,1391702.1536599887,54330.05011538413,391071713.3163664,746036725.0225849,29124200.57107755,3392976.401758922,52177616.417970724,3355479.746060373,10562964.44658067,133027.52244197277,10429936.92413869,793782.5829972121,13181,780601.5829972121,171000,16996.90816782485,886372.3689420447,0.016605225715498904,0.4432848611519529,14864104.79556409
2042,880736874.223623,676746913.8334851,7458528.585025696,669288385.2484596,203989960.39013797,2870777.374027998,4373956.417896758,213794.79310094015,257608177.15822864,392495409.07553834,19184799.014692485,12317071.056990463,179491937.39929596,12180951.933851525,211448488.97516364,669288385.2484596,97012531.06881076,114435957.90635289,1164454190.5451992,1106446773.273917,2120937.6139586135,1104325835.6599584,58007417.27128216,816345.964819593,1243796.0896413126,60795.55949770771,425053492.31107724,647617424.9746382,31654918.3742426,3502532.570703025,51041059.519001625,3463825.1815775004,10573527.41102725,140485.58774543737,10433041.823281806,887658.5425874324,15550,872108.5425874324,171000,17995.653508584975,886397.6427661311,0.017518513129851344,0.45879983129227125,15719560.860326432
2043,849464744.9374424,643654100.9450543,7486844.929338718,636167256.0157156,205810643.99238813,3273707.5774000217,3969335.223457663,243802.1284810334,278171323.9913969,337279738.1468706,20716193.877448086,13000596.912824754,179953123.11007625,12856923.969487129,213297488.92172685,636167256.0157156,101285981.74998574,112011507.17174113,1108720305.4643009,1051748457.0465853,2072484.6206545255,1049675972.4259307,56971848.4177156,906217.3279553949,1098778.7622796274,67488.53041950334,458982684.5858049,556511567.9423364,34181719.89778934,3598783.9223935707,49814051.66052032,3559012.8348017116,10584100.938438278,148354.1870541448,10435746.751384126,986750.9699580487,18237,968513.9699580487,171000,18994.30768609513,886424.7782019507,0.018482031351993167,0.4748578253875007,16569892.070344845
2044,823467843.1447448,615937809.297209,7561438.057866048,608376371.239343,207530033.84753588,3712493.4990053503,3572464.819717856,276479.73914284207,298698912.2822935,287432518.3606054,22244940.596444167,13684059.185937561,180313141.53652805,13532833.125070272,215091471.90540195,608376371.239343,105712694.00968972,109378777.89571223,1061681782.3130628,1005855080.2962153,2034067.7512993608,1003821012.5449159,55826702.01684744,998680.8389416927,961012.3665405427,74374.54581712547,492853205.26578426,474263655.29499894,36704151.98413287,3681085.963275435,48505210.71892993,3640405.334642077,10594685.039376713,156655.94306692935,10438029.096309777,1091060.496191174,21274,1069786.496191174,171000,19992.8689671188,886454.5641130861,0.01949854307635279,0.4914778492760632,17415100.756832525
2045,803086781.6752664,593916462.2375193,7695179.537069596,586221282.7004497,209170319.43774703,4189883.335401498,3193263.910723721,312032.2909443774,319186676.7256285,243263884.4523146,23770721.52250662,14367456.660184566,180594184.5796659,14208678.197896566,216865498.97481662,586221282.7004497,110315049.63396446,106550449.34085216,1023849792.615187,969272947.3193523,2007830.8636102374,967265116.455742,54576845.29583478,1093226.874723306,833188.3362458091,81415.65264112224,526658016.597287,401385409.346319,39221690.51213592,3748765.4154052953,47120743.03670633,3707336.843723156,10605279.724416088,165414.73745636546,10439864.986959716,1200587.9383716553,24697,1175890.9383716553,171000,20991.33557482839,886488.1274385359,0.02057096294555219,0.5086795740007254,18255190.2716643
2046,788257564.8213942,577508742.5186604,7897626.688463539,569611115.8301967,210748822.30273375,4708949.429462512,2837988.6691776523,350688.5898233741,339629871.69578886,204688060.89873987,25293183.23566802,15050788.088655349,180813576.2592429,14884457.95483551,218646448.9911973,569611115.8301967,115113716.91815001,103532732.07304728,995078118.6638926,941852909.0209963,1994567.9011718584,939858341.1198245,53225209.64289629,1189258.4634276645,716742.0450120607,88567.3927321331,560389288.2980516,337735300.48292077,41733752.33885223,3801118.9934848617,45664978.800477885,3759111.848933539,10615885.004140504,174655.78717384388,10441229.216966653,1315334.3886117942,28546,1286788.3886117942,171000,21989.705687445996,886527.0780821722,0.02170236590755756,0.5264833590907506,19090165.415404275
2047,778672978.3831582,566393914.5763628,8175375.371901793,558218539.2044611,212279063.80679533,5272720.490541453,2509980.6891527064,392674.1922076342,360023876.0876356,171382681.52747777,26811981.58934768,15734052.192708595,180984840.48271036,15560171.13137638,220454439.17869714,558218539.2044611,120127889.44355243,100326549.7351447,974827701.2382396,923054499.7271357,1993910.0397749124,921060589.6873608,51773201.51110401,1285975.2420850424,612164.6368610135,95770.16082885629,594039395.5445987,282781424.5203383,44239769.62242367,3837412.1317057246,44140785.47705761,3795003.902340671,10626500.889144644,184405.72850985092,10442095.160634788,1435301.3452873158,32863,1402438.3452873158,171000,22987.977436833815,886573.7158976756,0.022895996032473227,0.5449102766589269,19920033.044716034
2048,773892055.7033559,560120457.0084975,8533442.977795253,551587014.0307022,213771598.69485837,5884496.856004852,2210711.238370137,438234.8834202635,380363712.31666416,142896555.82508513,28326745.88895294,16417247.660971297,181118534.60324857,16235816.430638507,222305041.67265362,551587014.0307022,125376072.32213816,96928969.35051546,962344339.9955804,912123321.2211006,2004748.0704419548,910118573.1506586,50221018.774479926,1382435.407173178,519358.8450709882,102953.8181977886,627600125.3224958,235779317.11139047,46739130.71677235,3856877.6584012923,42549886.80558908,3814254.310489551,10637127.390033787,194692.71113933958,10442434.678894442,1560490.9063142661,37694,1522796.9063142661,171000,23986.148907031948,886631.3263813183,0.02415527581425925,0.5639821363419893,20744802.934294406
2049,773387037.9274178,558152372.1174637,8975678.922448352,549176693.1950154,215234665.8099541,6551938.733082695,1935799.0489197765,487941.1404458803,400880209.5685033,118441816.999157,29854666.62735507,17100373.14830042,181222900.13930935,16911392.522344362,224210344.73240247,549176693.1950154,130876401.23457964,93333943.49782284,956734807.5577241,908166913.7069734,2025369.9351981021,906141543.7717754,48567893.85075069,1478450.8048808263,436814.7778171324,110104.3525001434,661452345.7880304,195428998.04860905,49260199.93513586,3858714.41642312,40893108.664301954,3816070.7700256268,10647764.51742382,205669.88331690416,10442094.63410691,1692408.2498939866,43129,1649279.2498939866,171000,24984.21813274135,896918.174518764,0.025483815984043506,0.583721511113959,21573921.24040908
2050,776714553.7688687,560039857.6923019,9506464.825080749,550533392.8672211,216674696.0765668,7275401.108848802,1689244.3160705778,541819.4001613689,421329203.9283859,97826628.70160085,31377560.237234402,17783427.27470541,181304370.76010734,17586898.041754026,226181160.90164754,550533392.8672211,136647747.34296486,89533413.5586827,957246237.4305451,910433957.321508,2053859.0905932565,908380098.2309148,46812280.10903703,1571840.739966599,364958.9893438726,117059.36128278478,695193186.4818367,161413937.3576414,51772974.39143676,3842085.8270779457,39170568.334456936,3799625.9475021446,10658412.281941243,217251.36538328097,10441160.916557955,1829605.886282719,49190,1780415.886282719,171000,25982.183097749577,896950.7381376605,0.026885425863165897,0.6041517640029475,22397857.555246912
2051,783371219.276488,565274510.2187206,10128600.828171305,555145909.3905493,218096709.05776736,8058867.458205247,1469567.046919759,600166.323046298,441704375.5243931,80546577.8060432,32894956.060112998,18466408.624229785,181367968.84497845,18262331.588559125,228225309.88593867,555145909.3905493,142708618.88222897,85516691.0037097,963030354.562728,918078360.2032566,2087609.708850299,915990750.4944063,44951994.359471425,1661016.1890568351,302893.01424765994,123700.50554580371,728812219.6152486,132901853.37997127,54276677.49918644,3806118.39537754,37381819.96294502,3764056.001148862,10669070.694223182,229470.432004936,10439600.262218239,1972084.2737391728,55936,1916148.2737391728,171000,26980.04173329678,896983.7752249129,0.02836412428564002,0.6252970757430505,23216612.053500026
2052,792887620.8176839,573382998.2907493,10845533.893788032,562537464.3969612,219504622.52693462,8907167.749347001,1275024.5341457427,663341.6102952876,461998054.65971273,66133126.82495782,34406282.91229063,19149315.743790135,181417615.05740985,18937691.725734636,230350156.42072266,562537464.3969612,149078583.9790713,81271572.44165137,973294959.9951837,930310634.6600693,2123818.4050834305,928186816.2549859,42984325.33511439,1744239.3328431603,249680.70719899403,129898.36504127627,762296790.1885259,109119659.2611804,56770366.80527954,3749900.154266232,35525966.13855535,3708459.042292814,10679739.764917405,242362.19307027597,10437377.571847122,2119843.910080269,63435,2056408.910080269,171000,27977.791916379396,897017.4752131552,0.02992415112135022,0.6471824733940573,24030185.073293652
2053,804838285.383149,583936791.24918,11659842.309200147,572276948.9399798,220901494.1339691,9824640.331954598,1103533.6263437073,731668.3509018414,482203364.72023344,54162555.5465999,35911028.673146434,19832147.141970493,181456370.013652,19612976.978346623,232561336.44316927,572276948.9399798,155777457.66784692,76783878.77532235,987322228.8686632,946416113.0307177,2159147.2797511257,944256965.7509665,40906115.837945454,1819308.0905163756,204350.2445615288,135488.94467322124,795635551.7883852,89368216.65188983,59253197.31069161,3672479.045400323,33601743.25851298,3631893.534032155,10690419.50468232,255963.69643824175,10434455.80824407,2272885.3509861305,71755,2201130.3509861305,171000,28975.43146798874,897052.1087069586,0.03156997943302448,0.6698338599628493,24838577.18478238
2054,818843902.793108,596554192.7322427,12575260.920378374,583978931.8118644,222289710.06086522,10816660.239490652,953053.8422973338,805546.8385903877,502311779.646124,44258593.78250131,37408558.38323907,20514901.287770256,181486622.940781,20288185.832313966,234864970.98124358,583978931.8118644,162826727.93531397,72038243.04592963,1004469160.8506005,965755336.3654666,2190098.875890345,963565237.4895762,38713824.48513389,1883822.1792286658,165983.20797430904,140293.48868736997,828814436.4161046,73026679.74112716,61724121.33234446,3572861.2339596013,31607586.626503162,3533376.6246711244,10701109.924187003,270314.037212828,10430795.886974167,2431209.236831788,80975,2350234.236831788,171000,29972.958151281626,897088.0622708146,0.033306328301840826,0.6932780450615489,25641789.287462972
2055,834571975.6254092,610900843.3309999,13595339.792023474,597305503.5389763,223671132.29440948,11888472.139346063,821499.9943168039,885367.6583606073,522314995.1476351,36092254.79237789,38898253.59896336,21197576.609303467,181510238.951984,20963316.733122014,237266472.08643296,597305503.5389763,170248843.18416843,67017628.90226453,1024170360.5859681,987766788.9393765,2212708.1000656066,985554080.8393109,36403571.64659171,1934907.0345096607,133703.1453009456,144097.9202550006,861819741.9935979,59552220.40742351,64182118.43828954,3450009.354873654,29541679.878390297,3411882.413327758,10711811.034111189,285454.4743436161,10426356.559767565,2594816.3319921745,91177,2503639.3319921745,171000,30970.36966968,897125.8881261367,0.03513817635844207,0.717542776638703,26439822.74821849
2056,851733805.484268,626686591.8909844,14724574.130524738,611962017.7604597,225047213.5932835,13046096.284004234,706898.6913246022,971579.1551959012,542203484.8061138,29379128.092977688,40379404.86136815,21880171.492447358,181528674.01635006,21638368.08448609,239771787.72380826,611962017.7604597,178068142.3242709,61703645.39953737,1045931196.2742553,1011960023.1517785,2222693.8470200514,1009737329.3047584,33971173.12247676,1969325.4067005054,106707.28794909648,146661.15237044962,894635749.9300878,48475561.35341318,66626018.021257445,3302840.6877444377,27401992.289706457,3266340.1450258666,10722522.845145298,301428.5556200171,10421094.289525274,2763707.5823837193,102453,2661254.5823837193,171000,31967.66366489642,897166.3751471955,0.03707077605815638,0.7426567738210575,27232679.597132564
2057,870081415.1739775,643662327.9381897,15967615.594758231,627694712.3434315,226419087.23578784,14295617.23850897,607363.8926339537,1064634.4636153074,561967646.142696,23875769.153649196,41851297.04708626,22562684.279437825,181543064.70938757,22313338.246962465,242386702.83054608,627694712.3434315,186310481.17720073,56076221.653345354,1069323700.6286507,1037911536.3267497,2215260.9600877417,1035696275.3666619,31412164.301900957,1983296.916242287,84262.39421498876,147701.6496304659,927246616.1354483,39395019.10352117,69054640.12769233,3130225.257641595,25186306.711780418,3095632.3324789447,10733245.367990442,318282.25252261746,10414963.115467817,2937884.199654713,114900,2822984.199654713,171000,32964.83771488198,897210.6502836794,0.03910966874135498,0.7686497609047945,28020362.805235762
2058,889403086.5908625,661615449.5107974,17329844.940351892,644285604.5704457,227787637.08006516,15643662.617074417,521155.16275418666,1165027.160523287,581597046.114898,19375405.277184904,43313153.17836272,23245113.267409433,181554298.2761512,22988225.53650451,245117482.02041703,644285604.5704457,195003826.23677906,50113655.78363797,1093978190.2201576,1065256373.3013043,2185125.7600690215,1063071247.5412353,28721816.918853335,1972514.4849278706,65712.6232258148,146898.65191533612,959635126.0895816,31969418.70735509,71466702.74429849,2930983.8588381014,22892240.2583492,2898592.8016660325,10743978.613358432,336064.1069833865,10407914.506375039,3117347.784297542,128624,2988723.784297542,171000,33961.88933169322,897260.323450163,0.0412607005221295,0.7955525025364623,28802876.678445786
2059,909519057.6461352,680365505.3908398,18817439.167966366,661548066.2228734,229153552.2552953,17097461.812925894,446681.7160558009,1273295.6389846709,601080343.5419277,15703594.035094475,44764128.645851284,23927456.706877474,181563067.32545632,23663028.222961526,247970991.42326167,661548066.2228734,204178530.78063625,43792460.64262542,1119575895.5124729,1093680745.4751527,2126436.2074115546,1091554309.2677412,25895150.03732024,1932072.7719281449,50476.5906631297,143886.84482028,991782566.8441807,25910930.157905884,73860812.26565461,2703885.99844085,20517259.380691633,2674004.658187761,10754722.591971787,354825.392984779,10399897.198987,3302100.5055809994,143741,3158359.5055809994,171000,34958.81595927438,897317.6945110299,0.043530039050846625,0.8233968401252384,29580227.416281294
