Year,ATS Total Power (kWh),CAV Total Power (kWh),ECAV Power (kWh),ICECAV Power (kWh),STI Power (kWh),ECAV Sensing Power (kWh),ECAV Computing Power (kWh),ECAV Communication Power (kWh),ICECAV Sensing Power (kWh),ICECAV Computing Power (kWh),ICECAV Communication Power (kWh),STI Sensing Power (kWh),STI Computing Power (kWh),STI Communication Power (kWh),Electricity Consumption (kWh),Gasoline Consumption (kWh),Clean Electricity (kWh),Fossil Electricity (kWh),ATS Emissions (kg CO2),CAV Emissions (kg CO2),ECAV Emissions (kg CO2),ICECAV Emissions (kg CO2),STI Emissions (kg CO2),ECAV Sensing Emissions (kg CO2),ECAV Computing Emissions (kg CO2),ECAV Communication Emissions (kg CO2),ICECAV Sensing Emissions (kg CO2),ICECAV Computing Emissions (kg CO2),ICECAV Communication Emissions (kg CO2),STI Sensing Emissions (kg CO2),STI Computing Emissions (kg CO2),STI Communication Emissions (kg CO2),Total Vehicles,Total EV,Total ICEV,Total CAV,Total ECAV,Total ICECAV,Total Infra,Total STI,Incremented Car Number,EV Fraction,Clean Energy Fraction,Cumulative New Cars
2034,5313005318.879923,4373098435.956496,309768439.4954956,4063329996.461001,939906882.9234267,22347473.74446694,283998287.1902573,3422678.560771367,293138838.0265821,3725294807.834995,44896350.59942412,24254786.733017284,878123509.7354355,37528586.454973884,1249675322.4189222,4063329996.461001,1249675322.4189222,0.0,6741984753.833219,6713787547.345516,9293053.184864867,6704494494.160651,28197206.4877028,670424.2123340082,8519948.61570772,102680.356823141,483679082.7438605,6146736432.927741,74078978.48904979,727643.6019905185,26343705.292063065,1125857.5936492165,32707001.685580563,2531553.439615953,30175448.245964587,1330849.943352406,144684.0,1186165.943352406,380400,36940.93013833327,2737055.46818427,0.10871523948077971,1.0,27363935.518913887
2035,5638736982.90899,4675047329.84008,355394281.9213235,4319653047.9187565,963689653.0689102,28683808.30921094,322317339.20847464,4393134.403637876,348638417.36269146,3917618114.680798,53396515.8752671,26675040.301214106,895741252.2903067,41273360.477389485,1319083934.990234,4319653047.9187565,1319083934.990234,0.0,7167000047.115655,7138089357.523587,10661828.457639704,7127427529.065948,28910689.592067305,860514.2492763282,9669520.176254239,131794.03210913626,575253388.6484408,6464069889.223316,88104251.19419071,800251.2090364231,26872237.5687092,1238200.8143216844,32772415.688951723,2702111.084395765,30070304.604555935,1596635.283789252,185729.0,1410906.283789252,380400,40627.06512537501,2737288.4414941743,0.11632530624443431,1.0,30100882.60561838
2036,5928255896.141591,4944651779.303614,403489360.7223666,4541162418.581247,983604116.8379778,36260045.56947849,361675824.76724774,5553490.385640328,408096897.3788147,4070562505.5440464,62503015.65838575,29094698.846657798,909492204.1494898,45017213.84183024,1387093477.5603445,4541162418.581247,1387093477.5603445,0.0,7534530794.9858675,7505022671.480728,12104680.821670996,7492917990.659058,29508123.505139332,1087801.3670843546,10850274.743017431,166604.71156920982,673359880.6750442,6716428134.147676,103129975.8363365,872840.9653997339,27284766.12448469,1350516.4152549072,32837960.52032963,2894846.0413589566,29943114.478970647,1886599.8387043271,234821.0,1651778.8387043271,380400,44312.293870931455,2737565.5644107834,0.1244680776815447,1.0,32837960.520329617
2037,5924586359.650092,4924087521.091938,431417753.4144581,4492669767.677481,1000498838.558154,44914743.37679225,379623989.5731555,6879020.464510295,467730194.44578224,3953303283.2840986,71636289.94759952,31513743.91251835,920224976.6549494,48760117.99068614,1431916591.9726121,4492669767.677481,1431916591.9726121,0.0,7455862614.427022,7425847649.270277,12942532.602433743,7412905116.667843,30014965.156744618,1347442.3013037676,11388719.687194666,206370.61393530882,771754820.8355407,6522950417.418762,118199878.4135392,945412.3173755504,27606749.299648482,1462803.5397205842,32903636.44137029,3106160.313470089,29797476.127900176,2208034.2235517805,294068.0,1913966.2235517805,380400,47996.588264573315,2801338.646801915,0.13318084311925285,1.0,35615026.8654961
2038,5743907162.569263,4728871003.913673,444953523.7558165,4283917480.1578565,1015036158.6555903,54616763.568819836,381971804.58336824,8364955.603628445,525838532.94870675,3677542941.4963512,80536005.71279864,33932156.2885388,928601959.1664556,52502043.20059591,1459989682.4114068,4283917480.1578565,1459989682.4114068,0.0,7112263532.732804,7081812447.973137,13348605.712674495,7068463842.260463,30451084.75966771,1638502.907064595,11459154.137501046,250948.66810885337,867633579.3653661,6067945853.468979,132884409.42611775,1017964.6886561639,27858058.77499367,1575061.2960178773,32969443.71425303,3332295.7906293967,29637147.92362361,2554216.143206665,363985.0,2190231.143206665,380400,51679.919048374366,2801602.371113103,0.14250350213760055,1.0,38368219.0741308
2039,5468575051.67614,4440841995.886891,448874928.81791896,3991967067.0689726,1027733055.7892483,65471311.88483966,373376208.10395837,10027408.829120947,582254218.4976848,3320536369.2359385,89176479.33534911,36349915.97312175,935140181.2923418,56242958.52378474,1476607984.6071672,3991967067.0689726,1476607984.6071672,0.0,6631043900.202019,6600211908.528341,13466247.864537569,6586745660.663804,30831991.67367745,1964139.3565451899,11201286.24311875,300822.2648736284,960719460.5211799,5478885009.239298,147141190.90332603,1090497.4791936523,28054205.438770253,1687288.7557135422,33035382.60168153,3574292.2135543157,29461090.388127193,2925150.554311386,446023.0,2479127.554311386,380400,55362.25575916789,2801868.385666158,0.1524787472872326,1.0,41097537.046984866
2040,5153166441.584077,4114173398.350142,446862966.43665206,3667310431.91349,1038993043.2339351,77593518.8653125,357385434.3485533,11884013.222786248,636793698.6426824,2932987134.8517356,97529598.41907187,38767002.13316096,940243209.374861,59982831.725913204,1485856009.6705873,3667310431.91349,1485856009.6705873,0.0,6095637892.947375,6064468101.650357,13405888.993099561,6051062212.657258,31169791.29701805,2327805.565959375,10721563.030456599,356520.3966835874,1050709602.7604259,4839428772.505363,160923837.39146858,1163010.0639948288,28207296.281245828,1799484.951777396,33101453.366884902,3833262.3465780136,29268191.020306867,3320842.5814548032,541803.0,2779039.5814548032,380400,59043.5666673687,2802137.450524427,0.1631522595973389,1.0,43802981.36436638
2041,4832709759.304531,3783578692.68825,441737070.68376696,3341841622.004483,1049131066.616281,91108598.9483664,336674525.44651866,13953946.28888191,689257316.8397963,2547019521.056306,105564784.10838112,41183393.06146403,944226044.3346182,63721629.22019878,1490868137.300048,3341841622.004483,1490868137.300048,0.0,5558764720.426398,5527290788.42791,13252112.120513009,5514038676.307397,31473931.99848843,2733257.968450992,10100235.763395559,418618.38866645726,1137274572.7856638,4202582209.7429047,174181893.77882883,1235501.7918439207,28326781.330038544,1911648.8766059633,33167656.273618665,4110397.1484960373,29057259.125122603,3741297.5928006126,653129.0,3088168.5928006126,380400,62723.818712126274,2802410.6510496065,0.17457291776915262,1.0,46484553.57026849
2042,4528636174.504854,3470243235.9639993,435652068.682524,3034591167.281475,1058392938.5408545,106153578.15500835,313240295.9658028,16258194.561712924,739426560.3252817,2181916037.3760695,113248569.58012398,43599066.13160065,947334556.4116997,67459315.9975542,1494045007.2233787,3034591167.281475,1494045007.2233787,0.0,5051896776.231134,5020144988.074909,13069562.06047572,5007075426.014434,31751788.156225633,3184607.3446502504,9397208.878974084,487745.8368513877,1220053824.5367148,3600161461.6705146,186860139.80720454,1307971.9839480193,28420036.692350987,2023779.479926626,33233991.586165905,4406971.331711723,28827020.25445416,4186521.3122121133,782013.0,3404508.3122121133,380400,66402.97743255708,2802689.53731481,0.18679302201299333,1.0,49142256.57417392
2043,4253062449.333506,3186091940.578374,430247107.1312115,2755844833.447162,1066970508.7551321,122877667.58447464,288549828.73756874,18819610.80916818,787063479.9072347,1848236842.3594825,120544511.18044508,46013997.74999801,949760655.4526678,71195855.55246627,1497217615.8863435,2755844833.447162,1497217615.8863435,0.0,4592060503.664409,4560051388.401754,12907413.213936346,4547143975.187818,32009115.26265396,3686330.027534239,8656494.862127062,564588.3242750453,1298654741.8469372,3049590789.893146,198898443.44773436,1380419.9324999403,28492819.663580034,2135875.6665739883,33300459.569338236,4724349.350426478,28576110.218911733,4656519.985271629,930692.0,3725827.985271629,380400,70081.00689478403,2802976.3232652694,0.19986853355390288,1.0,51776095.21921094
2044,4011844841.555111,2936831336.0332675,426768787.37457865,2510062548.6586885,1075013505.521844,141443703.7272477,263661949.0201693,21663134.627161656,831908410.2974118,1550741299.0842948,127412839.27698204,48428163.30509122,951654132.4124345,74931209.8043181,1501782292.8964226,2510062548.6586885,1501782292.8964226,0.0,4186656674.073728,4154406268.908073,12803063.62123736,4141603205.2868357,32250405.165655315,4243311.111817431,7909858.470605078,649894.0388148497,1372648876.9907293,2558723143.489086,210231184.80702037,1452844.8991527364,28549623.97237303,2247936.294129543,33367060.488476913,5063991.868617946,28303068.619858943,5151300.624802515,1101654.0,4049646.624802515,380400,73757.86961449076,2803274.1712344214,0.21385933090267606,1.0,54386077.08544464
2045,3806740648.1648536,2724101869.5832753,426166723.67947525,2297935145.9038,1082638778.5815785,162029211.80440462,239321556.5772631,24815955.297807522,873678304.2414826,1290446638.5435517,133810203.11876574,50841537.11332141,953131902.4544231,78665339.0138339,1508805502.2610538,2297935145.9038,1508805502.2610538,0.0,3836857155.809101,3804377992.451654,12785001.710384257,3791592990.7412696,32479163.357447352,4860876.354132138,7179646.697317893,744478.6589342257,1441569201.9984462,2129236953.5968602,220786835.14596346,1525246.1133996423,28593957.07363269,2359960.170415017,33433794.60945387,5427462.773019869,28006331.83643398,5670871.373552116,1297663.0,4373208.373552116,380400,77433.52647467476,2803587.5983949266,0.22882948406586343,1.0,56972213.62548965
2046,3636920751.8990655,2546983238.058601,429169611.9403501,2117813626.1182508,1089937513.8404646,184827641.93237287,216034268.8909108,28307701.117066436,912064805.3294343,1066059445.1157353,139689375.67308137,53254092.36175815,954285219.784406,82398201.69430058,1519107125.780815,2117813626.1182508,1519107125.780815,0.0,3539965696.8685384,3507267571.4533243,12875088.358210502,3494392483.0951138,32698125.415213935,5544829.257971186,6481028.066727323,849231.033511993,1504906928.7935665,1758998084.440963,230487469.86058426,1597622.7708527443,28628556.59353218,2471946.050829017,33500662.198672775,5816436.817571001,27684225.38110175,6215242.039370246,1521787.0,4693455.039370246,380400,81107.93663825915,2803923.0574031733,0.2448475479504739,1.0,59534521.76974501
2047,3500013905.5882907,2403033040.7614446,436345697.94777614,1966687342.8136687,1096980864.8268461,210049862.220492,194125167.6537592,32170668.073524866,946731931.4289167,874956512.5583596,144998898.82639238,55665801.04710486,955185309.2625482,86129754.51719306,1533326562.7746222,1966687342.8136687,1533326562.7746222,0.0,3291033912.525792,3258124486.5809865,13090370.938433284,3245034115.6425533,32909425.944805384,6301495.86661476,5823755.029612776,965120.0422057459,1562107686.8577125,1443678245.7212932,239248183.06354743,1669974.0314131456,28655559.277876444,2583892.635515792,33567663.52307013,6232708.017360469,27334955.50570963,6784424.884128081,1777430.0,5006994.884128081,380400,84781.0574551958,2804289.765891526,0.26198687630700707,1.0,62073026.19519968
2048,3392815687.455607,2288991339.1413403,448150355.54102623,1840840983.600314,1103824348.3142667,237925742.20466682,173784550.97355416,36440062.36280526,977313644.6028726,713844627.7979357,149682711.1995056,58076633.91082686,955887762.1916398,89859952.21179998,1551974703.8552928,1840840983.600314,1551974703.8552928,0.0,3083946864.0561767,3050832133.6067486,13444510.666230787,3037387622.940518,33114730.449428,7137772.266140005,5213536.529206625,1093201.8708841577,1612567513.5947397,1177843635.8665938,246976473.4791842,1742299.0173248057,28676632.86574919,2695798.566353999,33634798.85011626,6678198.957346321,26956599.89276991,7378435.785577849,2068367.0,5310068.785577849,380400,88452.8443636628,2804700.891456917,0.2803259576484976,1.0,64587762.53174152
2049,3310066393.0684457,2199555117.783568,464605413.92107415,1734949703.8624935,1110511275.284878,269016832.7932076,154386691.52654645,41201889.60132013,1004574334.2712927,576517484.9852138,153857884.60598713,60486560.37012062,956435967.4563423,93588747.45841499,1575116689.2059522,1734949703.8624935,1575116689.2059522,0.0,2909920512.0492926,2876605173.790746,13938162.417632224,2862667011.373114,33315338.258546337,8070504.983796228,4631600.745796394,1236056.6880396039,1657547651.547633,951253850.2256026,253865509.59987876,1814596.8111036187,28693079.02369027,2807662.4237524495,33702068.4478165,7165549.842489228,26536518.60532724,8011290.13736936,2402977.0,5608313.13736936,380400,92123.25078492831,2868608.2445021532,0.2999487746838924,1.0,67134936.39139622
2050,3250389967.0305533,2133314538.1230106,486472338.6437622,1646842199.4792485,1117075428.9075422,303327152.88550055,136688420.44544548,46456765.312816136,1026845548.941966,462727767.0037533,157268883.5335292,62895548.44442026,956863789.6884995,97316090.77462268,1603547767.5513046,1646842199.4792485,1603547767.5513046,0.0,2765396062.167299,2731883799.3000727,14594170.159312865,2717289629.14076,33512262.867226265,9099814.586565016,4100652.6133633642,1393702.959384484,1694295155.7542439,763500815.5561929,259493657.83032316,1886866.4533326079,28705913.690654982,2919482.72323868,33769472.584712125,7687105.52871055,26082367.056001544,8669544.302111264,2782449.0,5887095.302111264,380400,95792.22801141703,2869006.5080087297,0.32094518891176493,1.0,69657760.97975007
2051,3210203998.185976,2086660843.4264717,514065324.6101067,1572595518.816365,1123543154.7595043,341157421.199622,120657156.64869024,52250746.76179448,1043646801.4962566,369106599.4438871,159842117.8762214,65303564.677112214,957197659.6882216,101041930.39417055,1637608479.369611,1572595518.816365,1637608479.369611,0.0,2643910860.4280906,2610204565.7853055,15421959.738303201,2594782606.0470023,33706294.64278513,10234722.635988658,3619714.699460707,1567522.4028538342,1722017222.4688232,609025889.0824137,263739494.49576527,1959106.9403133662,28715929.790646646,3031257.9118251163,33837011.52988155,8245267.198510491,25591744.331371028,9353205.91698282,3211997.0,6141208.91698282,380400,99459.72508747892,2869407.3308355846,0.34341135213558843,1.0,72156233.89948092
2052,3186160995.2360907,2056226002.9706295,547694156.0982616,1508531846.8723679,1129934992.265461,382835020.981149,106225160.03753296,58633975.07957965,1054454963.2632961,292579416.9455828,161497466.66348886,67710574.05210249,957458206.0754821,104766212.1378764,1677629148.3637228,1508531846.8723679,1677629148.3637228,0.0,2539406421.7903185,2505508372.0223546,16430824.682947848,2489077547.339407,33898049.76796383,11485050.62943447,3186754.8011259884,1759019.2523873895,1739850689.3844385,482756037.96021163,266470819.9947566,2031317.2215630747,28723746.182264462,3142986.364136292,33904685.552941315,8842604.788969122,25062080.76397216,10062282.874832926,3697387.0,6364895.874832926,380400,103125.68868231805,2869811.47358419,0.3674501467850797,1.0,74630353.3459217
2053,3175200901.1228166,2038933953.0953166,587678871.6682467,1451255081.42707,1136266948.0275002,428715990.9090498,93301900.5731227,65660980.18607421,1058701087.0913658,230406202.8453961,162147791.49030802,70116539.90485147,957661528.8466731,108488879.27597548,1723945819.6957467,1451255081.42707,1723945819.6957467,0.0,2446289258.9455376,2412201250.5047126,17630366.150047403,2394570884.3546653,34088008.440825,12861479.727271494,2799057.0171936806,1969829.4055822263,1746856793.7007535,380170234.69490355,267543855.95900822,2103496.197145544,28729845.86540019,3254666.378279264,33972494.924047194,9481868.947065806,24490625.976981357,10796783.434267309,4244989.0,6551794.434267309,380400,106790.06295449534,2870220.022155486,0.3931716570600353,1.0,77080118.35673138
2054,3174567016.7946515,2032015527.1662488,634362020.120002,1397653507.046247,1142551489.6284027,479187522.4752196,81783434.36313707,73391063.28164534,1055766423.711178,180188756.9408744,161698326.3941945,72521423.82745886,957820193.4196819,112209872.38126183,1776913509.7484045,1397653507.046247,1776913509.7484045,0.0,2359435691.91876,2325159147.2299075,19030860.60360006,2306128286.6263075,34276544.68885208,14375625.674256587,2453503.030894112,2201731.8984493604,1742014599.1234436,297311448.95244277,266802238.55042094,2175642.7148237657,28734605.802590456,3366296.1714378544,34040439.913895294,10166003.881855054,23874436.03204021,11556716.380991872,4861837.0,6694879.380991872,380400,110452.78940736938,2870634.5271629095,0.42069367305423777,1.0,79505529.16448279
2055,3181798880.3516607,2033000559.1047235,688118821.0040119,1344881738.1007118,1148798321.246937,534670784.5996163,71559306.94686535,81888729.4575302,1044977919.736061,139857830.023547,160045988.34110376,74925185.56734705,957944006.5072656,115929129.17232452,1836917142.250949,1344881738.1007118,1836917142.250949,0.0,2274162382.1337028,2239698432.4962945,20643564.630120356,2219054867.866174,34463949.63740811,16040123.537988488,2146779.2084059604,2456661.883725906,1724213567.5645006,230765419.5388525,264075880.7628212,2247755.5670204116,28738320.195217967,3477873.8751697354,34108520.793723084,10898161.206878023,23210359.58684503,12342091.264136015,5555696.0,6786395.2641360145,380400,114113.80673478752,2871057.2030930594,0.4501422301680345,1.0,81906587.69451633
2056,3194711638.684417,2039696649.7209504,749365238.0855328,1290331411.6354175,1155014988.9634666,595623646.319035,62517487.07102292,91224104.6954749,1025603886.1927463,107648811.6133357,157078713.82933542,77327782.91905306,958040621.6982924,119646584.34612122,1904380227.0489995,1290331411.6354175,1904380227.0489995,0.0,2186178236.0099087,2151527786.341005,22480957.142565984,2129046829.1984386,34650449.668904,17868709.389571052,1875524.6121306876,2736723.1408642465,1692246412.2180312,177620539.1620039,259179877.81840342,2319833.487571592,28741218.65094877,3589397.5303836367,34176737.835310526,11681714.888819952,22495022.94649054,13152918.742200466,6335132.0,6817786.742200466,380400,117773.05065628108,2871491.2128218636,0.4816521862797969,1.0,84283298.2678073
2057,3211367847.7791996,2050160494.6518297,818564953.5903287,1231595541.061501,1161207353.1273696,662543680.2782216,54547877.43780658,101473395.87430042,996849228.4089593,82071584.340507,152674728.31203493,79729171.60859743,958116012.1197063,123362169.399066,1979772306.7176983,1231595541.061501,1979772306.7176983,0.0,2091525811.9530075,2056689591.3591864,24556948.60770986,2032132642.7514765,34836220.593821086,19876310.40834665,1636436.3231341972,3044201.8762290124,1644801226.8747828,135418114.16183653,251913301.71485764,2391875.148257923,28743480.363591187,3700865.0819719797,34245091.31098115,12520277.451139536,21724813.859841578,13989211.08919733,7209589.0,6779622.08919733,380400,121430.45374095485,2871941.0740655474,0.5153678393193827,1.0,86635668.59312326
2058,3230045529.3531275,2062665572.3967552,896236162.531025,1166429409.8657303,1167379956.9563723,735971940.9371138,47544752.16401949,112719469.42989182,957849451.5560193,61878330.207379736,146701628.10233116,82129305.16985361,958174839.3507786,127075812.43574019,2063616119.4873974,1166429409.8657303,2063616119.4873974,0.0,1986517009.8630767,1951495611.1543856,26887084.87593075,1924608526.2784548,35021398.708691165,22079158.228113413,1426342.5649205847,3381584.0828967546,1580451595.0674317,102099244.84217656,242057686.36884642,2463879.1550956084,28745245.180523355,3812274.3730722056,34313581.49360311,13417717.629396806,20895863.864206273,14850982.934758872,8189479.0,6661503.934758872,380400,125085.94521919322,2872413.2400251366,0.5514435880717395,1.0,88963711.16733027
2059,3249206192.2308097,2075669878.0947292,982956772.9058771,1092713105.1888518,1173536314.1360805,816496165.5113685,41408265.7919276,125052341.60258105,907665611.5336115,46031886.59071904,139015607.06452134,84528134.81229192,958220741.3595316,130787437.9642571,2156493087.041958,1092713105.1888518,2156493087.041958,0.0,1867671416.1728642,1832465326.7487817,29488703.187176313,1802976623.5616055,35206089.42408241,24494884.965341054,1242247.973757828,3751570.2480774317,1497648259.030459,75952612.8746864,229375751.6564602,2535844.0443687574,28746622.24078595,3923623.138927713,34382208.65659031,14378179.746228611,20004028.910361674,15738252.345805598,9286271.0,6451981.345805598,380400,128739.45078122926,2872916.9288787283,0.5900446392367613,1.0,91267445.25145115
