Year,ATS Total Power (kWh),CAV Total Power (kWh),ECAV Power (kWh),ICECAV Power (kWh),STI Power (kWh),Electricity Consumption (kWh),Gasoline Consumption (kWh),Clean Electricity (kWh),Fossil Electricity (kWh),ATS Emissions (kg CO2),CAV Emissions (kg CO2),ECAV Emissions (kg CO2),ICECAV Emissions (kg CO2),STI Emissions (kg CO2),Total Vehicles,Total CAV,Total ECAV,Total ICECAV,Total Infra,Total STI,Incremented Car Number,Cumulative New Cars
2037,7591009878.424971,5202531662.93332,862076815.4903784,4340454847.442942,2388478215.491651,3250555030.9820294,4340454847.442942,3250555030.9820294,0.0,7259267149.210314,7187612802.745564,25862304.46471135,7161750498.280853,71654346.46474953,41473028.572348714,4067746.493367521,980936.0,3086810.493367521,380400,380400,813196.6386735067,41473028.572348714
2038,6359209735.966595,4368981585.8868065,820620082.5773062,3548361503.3095007,1990228150.0797877,2810848232.657094,3548361503.3095007,2810848232.657094,0.0,5939121927.440389,5879415082.937995,24618602.477319185,5854796480.460676,59706844.50239363,42302489.14379569,4149066.1572348718,1120612.0,3028454.1572348718,380400,380400,829460.5714469776,42302489.14379569
2039,5321449625.546483,3663068124.020135,781157258.5525334,2881910865.467602,1658381501.5263479,2439538760.0788813,2881910865.467602,2439538760.0788813,0.0,4828339090.823909,4778587645.778118,23434717.756576,4755152928.021543,49751445.045790434,43148538.9266716,4232012.2143795695,1280177.0,2951835.2143795695,380400,380400,846049.7828759104,43148538.9266716
2040,4447380003.11687,3065513705.780794,743591852.8536422,2321921852.9271517,1381866297.3360758,2125458150.189718,2321921852.9271517,2125458150.189718,0.0,3894934801.8354917,3853478812.9154096,22307755.585609265,3831171057.3298,41455988.92008227,44011509.70520504,4316617.19266716,1462462.0,2854155.19266716,380400,380400,862970.7785334364,44011509.70520504
2041,3711395928.6443396,2559939245.151553,707833095.9411068,1852106149.2104464,1151456683.4927862,1859289779.433893,1852106149.2104464,1859289779.433893,0.0,3111753839.5802536,3077210139.07547,21234992.8782332,3055975146.1972365,34543700.504783586,44891739.89930914,4402914.270520504,1670703.0,2732211.2705205036,380400,380400,880230.1941041052,44891739.89930914
2042,3091894822.5967193,2132429716.2285066,673794097.0273736,1458635619.201133,959465106.3682126,1633259203.395586,1458635619.201133,1633259203.395586,0.0,2455746547.783737,2426962594.592691,20213822.910821207,2406748771.6818695,28783953.191046376,45789574.69729532,4490937.2899309145,1908596.0,2582341.2899309145,380400,380400,897834.7979861796,45789574.69729532
2043,2570649681.8449473,1771163862.2431774,641392055.4479188,1129771806.7952588,799485819.6017699,1440877875.0496888,1129771806.7952588,1440877875.0496888,0.0,1907349817.4636674,1883365242.8756144,19241761.663437564,1864123481.2121768,23984574.588053096,46705366.19124123,4580720.769729532,2180363.0,2400357.7697295323,380400,380400,915791.4939459041,46705366.19124123
2044,2132280666.660961,1466099508.5324054,610548392.1048553,855551116.4275501,666181158.1285555,1276729550.2334108,855551116.4275501,1276729550.2334108,0.0,1449961228.61246,1429975793.8686032,18316451.76314566,1411659342.1054575,19985434.743856665,47639473.51506606,4672299.919124123,2490828.0,2181471.9191241227,380400,380400,934107.3238248304,47639473.51506606
2045,1763810040.8101258,1208706592.3630195,581188049.1706476,627518543.1923718,555103448.4471065,1136291497.617754,627518543.1923718,1136291497.617754,0.0,1069494341.1959462,1052841237.742533,17435641.475119427,1035405596.2674135,16653103.453413194,48592262.98536737,4765710.651506606,2845501.0,1920209.6515066056,380400,380400,952789.4703013152,48592262.98536737
2046,1454286395.3384037,991739782.1266168,553239692.6540775,438500089.4725393,462546613.21178675,1015786305.8658643,438500089.4725393,1015786305.8658643,0.0,753998736.8056657,740122338.4093121,16597190.779622326,723525147.6296898,13876398.396353602,49564108.24507473,4860989.598536737,3250677.0,1610312.5985367373,380400,380400,971845.259707354,49564108.24507473
2047,1194468054.8646533,809045535.8869483,526635362.6968222,282410173.1901262,385422518.97770494,912057881.6745272,282410173.1901262,912057881.6745272,0.0,493338522.213944,481775846.64461285,15799060.880904667,465976785.7637082,11562675.569331149,50555390.40997622,4958174.124507473,3713547.0,1244627.1245074729,380400,380400,991282.164901495,50555390.40997622
2048,976555855.5291293,655397914.0545857,501310515.1291915,154087398.92539415,321157941.47454363,822468456.6037352,154087398.92539415,822468456.6037352,0.0,278918261.92501235,269283523.68077606,15039315.453875745,254244208.22690034,9634738.24423631,51566498.218175754,5057302.340997622,4242327.0,814975.3409976223,380400,380400,41670939.74187474,51566498.218175754
2049,1208856995.3936038,941248284.7096993,853346553.6071348,87901731.1025645,267608710.68390453,1120955264.2910395,87901731.1025645,1120955264.2910395,0.0,178666514.2479626,170638252.92744547,25600396.608214043,145037856.31923142,8028261.320517136,52597828.18253926,9224396.315185096,8666449.0,557947.3151850961,380400,380400,1031329.9643635079,52597828.18253926
2050,988289494.853725,765301323.659527,765301282.7510647,40.908462248618974,222988171.19419798,988289453.9452627,40.908462248618974,988289453.9452627,0.0,29648751.11732059,22959105.98149465,22959038.48253194,67.4989627102213,6689645.1358259395,53649784.74619005,9327529.311621446,9327529.0,0.31162144616246223,380400,380400,1051956.5636507869,53649784.74619005
2051,830696000.7831439,644888429.8507243,644888429.8507243,0.0,185807570.9324195,830696000.7831439,0.0,830696000.7831439,0.0,24920880.023494314,19346652.89552173,19346652.89552173,0.0,5574227.127972585,54722780.44111385,9432724.967986524,9432724.967986524,0.0,380400,380400,1072995.6949238032,54722780.44111385
2052,698300030.3364952,543473640.9773074,543473640.9773074,0.0,154826389.3591877,698300030.3364952,0.0,698300030.3364952,0.0,20949000.910094853,16304209.229319222,16304209.229319222,0.0,4644791.68077563,55817236.04993613,9540024.537478905,9540024.537478905,0.0,380400,380400,1094455.6088222787,55817236.04993613
2053,587062164.3480998,458051216.5072208,458051209.036645,7.470575812365205,129010947.84087907,587062156.877524,7.470575812365205,587062156.877524,0.0,17611877.03277581,13741548.59754944,13741536.27109935,12.326450090402586,3870328.435226372,56933580.77093486,9649470.098361133,9649470.0,0.09836113266646862,380400,380400,1116344.7209987268,56933580.77093486
2054,493592202.2567916,386092281.01152277,386092281.01152277,0.0,107499921.24526884,493592202.2567916,0.0,493592202.2567916,0.0,14807766.067703746,11582768.430345682,11582768.430345682,0.0,3224997.6373580648,58072252.38635355,9761104.570461005,9761104.570461005,0.0,380400,380400,1138671.615418695,58072252.38635355
2055,415044574.04328704,325468973.9787688,325468973.9787688,0.0,89575600.06451821,415044574.04328704,0.0,415044574.04328704,0.0,12451337.221298609,9764069.219363064,9764069.219363064,0.0,2687268.0019355463,59233697.43408062,9874971.732002875,9874971.732002875,0.0,380400,380400,1161445.0477270707,59233697.43408062
2056,349030608.8348422,274390664.6007281,274390654.1964438,10.40428428981051,74639944.23411411,349030598.4305579,10.40428428981051,349030598.4305579,0.0,10470935.119985815,8231736.792962392,8231719.625893313,17.167069078187343,2239198.3270234233,60418371.38276224,9991116.236775583,9991116.0,0.2367755826562643,380400,380400,1184673.9486816153,60418371.38276224
2057,293544980.95513004,231350351.26513666,231350351.26513666,0.0,62194629.68999339,293544980.95513004,0.0,293544980.95513004,0.0,8806349.428653901,6940510.5379540995,6940510.5379540995,0.0,1865838.8906998015,61626738.81041748,10109583.631643744,10109583.631643744,0.0,380400,380400,1208367.4276552424,61626738.81041748
2058,246904069.81994802,195079647.89724964,195079636.47412154,11.423128095438265,51824421.92269837,246904058.39681992,11.423128095438265,246904058.39681992,0.0,7407140.600065955,5852407.942385004,5852389.094223646,18.84816135747314,1554732.657680951,62859273.58662584,10230420.374409268,10230420.0,0.37440926767885685,380400,380400,1232534.776208356,62859273.58662584
2059,207694167.2759719,164510845.48421955,164510845.48421955,0.0,43183321.791752346,207694167.2759719,0.0,207694167.2759719,0.0,6230825.018279157,4935325.364526587,4935325.364526587,0.0,1295499.6537525703,64116459.05835836,10353673.852030104,10353673.852030104,0.0,380400,380400,1257185.4717325196,64116459.05835836
2060,174728150.9365531,138745129.57740355,138745121.1208033,8.456600234725855,35983021.359149545,174728142.47995284,8.456600234725855,174728142.47995284,0.0,5241858.227788973,4162367.587014486,4162353.6336240987,13.95339038729766,1079490.6407744864,65398788.23952552,10479392.399203356,10479392.0,0.3992033563554287,380400,380400,52848827.39934292,65398788.23952552
2061,203898357.30476668,173915072.73076004,173915070.2747629,2.4559971289806324,29983284.574006658,203898354.84876955,2.4559971289806324,203898354.84876955,0.0,6116954.697858349,5217456.16063815,5217452.108242887,4.0523952628180435,899498.5372201997,66706764.00431603,15764275.139137648,15764275.0,0.1391376480460167,380400,380400,1307975.7647905126,66706764.00431603
2062,171103141.14908707,146119209.28653175,146119209.28653175,0.0,24983931.86255531,171103141.14908707,0.0,171103141.14908707,0.0,5133094.234472612,4383576.278595952,4383576.278595952,0.0,749517.9558766593,68040899.28440234,15895072.7156167,15895072.7156167,0.0,380400,380400,1334135.2800863087,68040899.28440234
2063,143595689.8030783,122777528.61156094,122777525.62570536,2.985855574731045,20818161.19151736,143595686.8172227,2.985855574731045,143595686.8172227,0.0,4307875.531178379,3683330.695432859,3683325.768771161,4.926661698306224,624544.8357455208,69401717.2700904,16028486.24362533,16028486.0,0.2436253298074007,380400,380400,1360817.9856880605,69401717.2700904
2064,120521408.16439623,103174425.40042417,103174424.96952066,0.43090350855926224,17346982.763972066,120521407.73349273,0.43090350855926224,120521407.73349273,0.0,3615642.942995571,3095233.460076409,3095232.7490856196,0.7109907891227827,520409.48291916196,70789751.61549221,16164568.042194135,16164568.0,0.04219413548707962,380400,380400,1388034.3454018086,70789751.61549221
2065,101164138.465024,86709556.80215566,86709552.74533385,4.0568218012508,14454581.66286833,101164134.40820219,4.0568218012508,101164134.40820219,0.0,3034930.7260020375,2601293.2761159874,2601286.5823600153,6.69375597206382,433637.4498860499,72205546.64780205,16303371.476734316,16303371.0,0.4767343159765005,380400,380400,1415795.032309845,72205546.64780205
2066,84923670.7094625,72879216.99140921,72879216.99140921,0.0,12044453.718053287,84923670.7094625,0.0,84923670.7094625,0.0,2547710.121283875,2186376.5097422763,2186376.5097422763,0.0,361333.61154159857,73649657.5807581,16444950.979965301,16444950.979965301,0.0,380400,380400,1444110.93295604,73649657.5807581
2067,71296945.89659204,61260760.22551255,61260759.792655036,0.43285751116336424,10036185.671079488,71296945.46373452,0.43285751116336424,71296945.46373452,0.0,2138909.0781269292,1837823.5079945445,1837822.793779651,0.7142148934195509,301085.57013238466,75122650.73237327,16589362.073260905,16589362.0,0.07326090522110462,380400,380400,1472993.1516151726,75122650.73237327
2068,59862283.836901695,51499511.62802968,51499509.71571857,1.91231111642258,8362772.2088720165,59862281.92459059,1.91231111642258,59862281.92459059,0.0,1795871.6130510597,1544988.446784899,1544985.291471557,3.155313342097257,250883.1662661605,76625103.74702074,16736661.388422422,16736661.0,0.3884224221110344,380400,380400,1502453.014647469,76625103.74702074
2069,50266193.1717762,43297812.82195751,43297812.82195751,0.0,6968380.349818682,50266193.1717762,0.0,50266193.1717762,0.0,1507985.7951532858,1298934.3846587255,1298934.3846587255,0.0,209051.41049456046,78157605.82196115,16886906.68988717,16886906.68988717,0.0,380400,380400,1532502.0749404132,78157605.82196115
2070,42212323.92674484,36405837.33510674,36405837.33510674,0.0,5806486.591638106,42212323.92674484,0.0,42212323.92674484,0.0,1266369.7178023453,1092175.1200532021,1092175.1200532021,0.0,174194.59774914317,79720757.93840037,17040156.897381213,17040156.897381213,0.0,380400,380400,1563152.1164392233,79720757.93840037
2071,35452204.73367622,30613880.066201597,30613879.755655818,0.31054578103831176,4838324.667474618,35452204.42313044,0.31054578103831176,35452204.42313044,0.0,1063566.6450944517,918416.9050702131,918416.3926696745,0.5124005387132143,145149.74002423853,81315173.09716837,17196472.109025136,17196472.0,0.10902513563632965,380400,380400,1594415.1587679982,81315173.09716837
2072,29777491.95902741,25745899.83899994,25745899.83899994,0.0,4031592.120027471,29777491.95902741,0.0,29777491.95902741,0.0,893324.7587708223,772376.9951699981,772376.9951699981,0.0,120947.76360082412,82941476.55911174,17355913.624901935,17355913.624901935,0.0,380400,380400,67025091.70146889,82941476.55911174
2073,33097206.214104056,29737833.675189406,29737833.675189406,0.0,3359372.538914651,33097206.214104056,0.0,33097206.214104056,0.0,992916.1864231217,892135.0102556822,892135.0102556822,0.0,100781.17616743952,84600306.09029399,24058422.795048825,24058422.795048825,0.0,380400,380400,1658829.5311822444,84600306.09029399
2074,27749498.598880142,24950261.096863948,24950261.096863948,0.0,2799237.502016194,27749498.598880142,0.0,27749498.598880142,0.0,832484.9579664042,748507.8329059184,748507.8329059184,0.0,83977.12506048582,86292312.21209987,24224305.74816705,24224305.74816705,0.0,380400,380400,1692006.1218058765,86292312.21209987
2075,23267816.65570152,20935318.398385458,20935317.903565742,0.49481971579682404,2332498.257316063,23267816.160881806,0.49481971579682404,23267816.160881806,0.0,698035.3012789851,628060.3535595032,628059.5371069722,0.8164525310647597,69974.94771948189,88018158.45634186,24393506.360347636,24393506.0,0.3603476360440254,380400,380400,1725846.2442419976,88018158.45634186
2076,19511608.424056783,17568026.24624449,17568026.24624449,0.0,1943582.1778122934,19511608.424056783,0.0,19511608.424056783,0.0,585348.2527217035,527040.7873873347,527040.7873873347,0.0,58307.4653343688,89778521.6254687,24566090.984771837,24566090.984771837,0.0,380400,380400,1760363.1691268384,89778521.6254687
2077,16363180.951536478,14743667.766452154,14743667.478817303,0.28763485132380096,1619513.185084324,16363180.663901627,0.28763485132380096,16363180.663901627,0.0,490895.8945145535,442310.49896202376,442310.02436451905,0.47459750468427153,48585.39555252972,91574092.05797808,24742127.30168452,24742127.0,0.30168452113866806,380400,380400,1795570.4325093776,91574092.05797808
2078,13723973.403022595,12374494.597030334,12374494.322994158,0.2740361762853396,1349478.8059922608,13723973.128986418,0.2740361762853396,13723973.128986418,0.0,411719.6460292834,371235.28184951557,371234.8296898247,0.4521596908708103,40484.36417976782,93405573.89913765,24921684.34493546,24921684.0,0.34493545815348625,380400,380400,1831481.8411595672,93405573.89913765
2079,11511441.980984028,10386972.563510606,10386972.563510606,0.0,1124469.4174734233,11511441.980984028,0.0,11511441.980984028,0.0,345343.25942952087,311609.17690531816,311609.17690531816,0.0,33734.0825242027,95273685.37712039,25104832.529051416,25104832.529051416,0.0,380400,380400,1868111.4779827446,95273685.37712039
2080,9656451.713707633,8719474.070769927,8719474.070769927,0.0,936977.6429377069,9656451.713707633,0.0,9656451.713707633,0.0,289693.55141122895,261584.22212309777,261584.22212309777,0.0,28109.329288131205,97179159.08466281,25291643.67684969,25291643.67684969,0.0,380400,380400,1905473.7075424194,97179159.08466281
